"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"PPBP","CG32",184,"-0.03 (0.12)",0.922542820886402
"PPBP","CG48",181,"-0.04 (0.12)",0.654046197143885
"PPBP","PB",78,"0.03 (0.18)",0.210796779775807
"PPBP","SP",112,"-0.2 (0.14)",0.271292348221601
"PPIA","CG32",165,"-0.6 (0.35)",0.0361679124604903
"PPIA","CG48",177,"-0.33 (0.35)",0.246036330248499
"PPIA","PB",65,"-0.25 (0.49)",0.961306400002195
"PPIA","SP",107,"-0.67 (0.44)",0.212688894647439
"PPIB","CG32",154,"0.21 (0.18)",0.407383707933432
"PPIB","CG48",147,"-0.22 (0.17)",0.148324110294434
"PPIB","PB",65,"-0.43 (0.27)",0.212221059581564
"PPIB","SP",101,"-0.05 (0.16)",0.980104587605137
"PPM1F","CG32",104,"-0.25 (0.16)",0.468122292785892
"PPM1F","CG48",115,"-0.2 (0.18)",0.465482556624362
"PPM1F","PB",47,"-0.01 (0.2)",0.37355976220334
"PPM1F","SP",86,"-0.1 (0.17)",0.838722080934499
"PPP1R9B","CG32",178,"-0.1 (0.06)",0.0624778752560466
"PPP1R9B","CG48",169,"-0.13 (0.05)",0.0256783600605751
"PPP1R9B","PB",74,"0.08 (0.15)",0.449579851058795
"PPP1R9B","SP",122,"0.02 (0.07)",0.943465155525044
"PRB3","CG32",200,"0.2 (0.05)",0.00103563584746539
"PRB3","CG48",200,"0.3 (0.06)",1.85713985600408e-07
"PRB3","PB",78,"0.09 (0.11)",0.389073224743959
"PRB3","SP",138,"0.1 (0.06)",0.100516891389193
"PRCP","CG32",169,"-0.3 (0.18)",0.322852654282521
"PRCP","CG48",176,"0.19 (0.13)",0.063122382155772
"PRCP","PB",75,"0.16 (0.18)",0.486715946148827
"PRCP","SP",116,"0.17 (0.16)",0.93126754305349
"PRDX1","CG32",157,"0.64 (0.31)",0.0955996940943426
"PRDX1","CG48",157,"0.31 (0.33)",0.522638751931783
"PRDX1","PB",79,"-0.22 (0.45)",0.441284781753959
"PRDX1","SP",108,"0.61 (0.39)",0.243334572801955
"PRDX2","CG32",207,"0.31 (0.27)",0.108473340084636
"PRDX2","CG48",205,"0.02 (0.27)",0.828785201959117
"PRDX2","PB",91,"0.08 (0.33)",0.752079840422345
"PRDX2","SP",137,"-0.3 (0.31)",0.201579213877273
"PRDX6","CG32",212,"0.47 (0.24)",0.0457824509579162
"PRDX6","CG48",212,"-0.39 (0.2)",0.0700745468664052
"PRDX6","PB",87,"0.75 (0.41)",0.125393394488212
"PRDX6","SP",139,"-0.31 (0.28)",0.405017716392158
"PRG4","CG32",216,"-0.3 (0.05)",3.15777946951906e-05
"PRG4","CG48",214,"-0.4 (0.06)",4.62735356857252e-08
"PRG4","PB",91,"0.14 (0.11)",0.0703482638655671
"PRG4","SP",146,"0.1 (0.07)",0.780442669763532
"PRKDC","CG32",216,"-0.02 (0.11)",0.983380912602572
"PRKDC","CG48",214,"-0.03 (0.12)",0.45408942132859
"PRKDC","PB",91,"-0.31 (0.19)",0.0866452954163653
"PRKDC","SP",146,"-0.05 (0.11)",0.548294898403908
"PROC","CG32",216,"-0.09 (0.11)",0.627785213977594
"PROC","CG48",214,"-0.06 (0.12)",0.602857169910736
"PROC","PB",91,"0.01 (0.14)",0.9186234915524
"PROC","SP",146,"-0.1 (0.16)",0.469750764584402
"PROS1","CG32",216,"-0.03 (0.04)",0.65244471512335
"PROS1","CG48",214,"-0.04 (0.04)",0.874253319849052
"PROS1","PB",91,"0.02 (0.05)",0.418445006300516
"PROS1","SP",146,"0.02 (0.05)",0.331063774814061
"PROZ","CG32",199,"-0.2 (0.12)",0.482362574878712
"PROZ","CG48",200,"-0.16 (0.16)",0.494394920097048
"PROZ","PB",90,"0.13 (0.18)",0.239407753110167
"PROZ","SP",140,"0.1 (0.15)",0.279616450919314
"PRSS1","CG32",216,"0.03 (0.02)",0.384382061045455
"PRSS1","CG48",214,"0.03 (0.03)",0.226190294931118
"PRSS1","PB",91,"0 (0.04)",0.831673307465318
"PRSS1","SP",146,"-0.03 (0.03)",0.366291860877432
"PRSS2","CG32",216,"0.01 (0.02)",0.552974715216713
"PRSS2","CG48",214,"0.02 (0.03)",0.347609625275637
"PRSS2","PB",91,"0 (0.04)",0.922352821362407
"PRSS2","SP",146,"-0.01 (0.03)",0.616038707758375
"PRSS3","CG32",216,"0.01 (0.04)",0.816531766743658
"PRSS3","CG48",214,"0.07 (0.04)",0.108183864496388
"PRSS3","PB",91,"0.07 (0.07)",0.74318270779578
"PRSS3","SP",146,"-0.03 (0.04)",0.57854756966352
"PRSS3P2","CG32",216,"0.01 (0.02)",0.546744026284124
"PRSS3P2","CG48",214,"0.02 (0.03)",0.340356350062956
"PRSS3P2","PB",91,"0 (0.04)",0.941023455395897
"PRSS3P2","SP",146,"-0.01 (0.03)",0.640352355472148
"PSMA1","CG32",108,"0 (0.31)",0.746721540878704
"PSMA1","CG48",116,"-0.18 (0.31)",0.930248792390836
"PSMA1","PB",59,"-0.08 (0.45)",0.4799255532887
"PSMA1","SP",77,"0.19 (0.39)",0.799485389497244
"PSMA4","CG32",112,"0.37 (0.2)",0.0143837663776094
"PSMA4","CG48",109,"-0.01 (0.17)",0.927706489467539
"PSMA4","PB",57,"-0.09 (0.25)",0.992000998174069
"PSMA4","SP",81,"-0.12 (0.23)",0.801270848127257
"PSMA7","CG32",144,"0.07 (0.17)",0.493679556161595
"PSMA7","CG48",138,"-0.03 (0.16)",0.745990208925007
"PSMA7","PB",47,"-0.19 (0.42)",0.110688592329542
"PSMA7","SP",101,"0.38 (0.16)",0.0265459214570348
"PSMB1","CG32",125,"-0.16 (0.2)",0.954678095909607
"PSMB1","CG48",122,"0.24 (0.14)",0.0164695726485636
"PSMB1","PB",64,"-0.07 (0.2)",0.429271875982094
"PSMB1","SP",83,"-0.14 (0.25)",0.640303490183839
"PSMC5","CG32",121,"0.07 (0.19)",0.867289656849929
"PSMC5","CG48",110,"0.16 (0.19)",0.936141508358322
"PSMC5","PB",41,"-0.47 (0.32)",0.228567284629509
"PSMC5","SP",74,"-0.08 (0.23)",0.939732581634689
"PSMD8","CG32",135,"-0.08 (0.07)",0.87319237985442
"PSMD8","CG48",152,"-0.06 (0.09)",0.842623653440765
"PSMD8","PB",48,"-0.27 (0.22)",0.553393869802648
"PSMD8","SP",111,"0.14 (0.08)",0.773502184483478
"PTGDS","CG32",173,"0.07 (0.19)",0.49570046703588
"PTGDS","CG48",171,"0.2 (0.21)",0.830905244172882
"PTGDS","PB",71,"0.39 (0.24)",0.0495582779558321
"PTGDS","SP",109,"-0.3 (0.25)",0.28171994534163
"PTPRA","CG32",212,"0.04 (0.07)",0.492828635805663
"PTPRA","CG48",206,"0.06 (0.07)",0.277795816712361
"PTPRA","PB",86,"-0.09 (0.1)",0.502599255243
"PTPRA","SP",138,"-0.1 (0.07)",0.71872989768884
"PTPRF","CG32",191,"-0.1 (0.2)",0.916237544374526
"PTPRF","CG48",178,"-0.24 (0.2)",0.804593608859064
"PTPRF","PB",76,"-0.02 (0.33)",0.692211489690303
"PTPRF","SP",130,"-0.02 (0.28)",0.702296304228841
"PTPRG","CG32",134,"-0.27 (0.19)",0.151579024398216
"PTPRG","CG48",148,"-0.56 (0.17)",0.0163526932774218
"PTPRG","PB",50,"-0.31 (0.37)",0.984561339701003
"PTPRG","SP",105,"0.31 (0.19)",0.314133862329373
"PTPRS","CG32",142,"-0.3 (0.23)",0.486223530108348
"PTPRS","CG48",146,"0.29 (0.23)",0.690350574246902
"PTPRS","PB",69,"0.24 (0.32)",0.564215686046731
"PTPRS","SP",99,"0.08 (0.3)",0.217713365314256
"PZP","CG32",216,"0.12 (0.02)",0.00402701502583221
"PZP","CG48",214,"0.16 (0.02)",0.000481987717153145
"PZP","PB",91,"-0.04 (0.04)",0.881441987157691
"PZP","SP",146,"-0.03 (0.02)",0.566888058501739
"QSOX1","CG32",216,"0.3 (0.14)",0.0291501312541242
"QSOX1","CG48",214,"0.11 (0.15)",0.307576224836747
"QSOX1","PB",91,"-0.03 (0.21)",0.817046430954768
"QSOX1","SP",146,"-0.12 (0.14)",0.311141728761244
"RAB11A","CG32",183,"0.03 (0.06)",0.32733525838939
"RAB11A","CG48",192,"0.02 (0.09)",0.442970821227115
"RAB11A","PB",76,"-0.18 (0.13)",0.367206609764753
"RAB11A","SP",133,"-0.13 (0.09)",0.368127070857027
"RAB11B","CG32",187,"-0.02 (0.06)",0.917605919054914
"RAB11B","CG48",193,"0.03 (0.09)",0.419139900599226
"RAB11B","PB",76,"-0.16 (0.14)",0.347696129854471
"RAB11B","SP",133,"-0.12 (0.09)",0.72669646306604
"RACK1","CG32",140,"0.21 (0.14)",0.111829102189511
"RACK1","CG48",142,"0.35 (0.13)",0.034083934407625
"RACK1","PB",44,"0.13 (0.35)",0.43689085350181
"RACK1","SP",111,"-0.17 (0.12)",0.278987196947554
"RAD23B","CG32",111,"-0.4 (0.26)",0.245361848023865
"RAD23B","CG48",113,"0.13 (0.18)",0.238543927626928
"RAD23B","PB",37,"0.35 (0.29)",0.760122399295552
"RAD23B","SP",89,"-0.07 (0.2)",0.866918507207104
"RBP4","CG32",216,"-0.05 (0.04)",0.187482134175066
"RBP4","CG48",214,"0 (0.03)",0.958873484346715
"RBP4","PB",91,"0.06 (0.07)",0.974705516283179
"RBP4","SP",146,"0.1 (0.04)",0.14621878866466
"RCN1","CG32",206,"0.05 (0.05)",0.585527077753945
"RCN1","CG48",200,"-0.03 (0.06)",0.709879516772957
"RCN1","PB",86,"0.1 (0.09)",0.538874833409604
"RCN1","SP",140,"-0.12 (0.06)",0.183656968234754
"RDX","CG32",201,"-0.16 (0.21)",0.630233314866188
"RDX","CG48",206,"-0.01 (0.22)",0.511188314453902
"RDX","PB",86,"-0.33 (0.29)",0.145717580244209
"RDX","SP",142,"0.3 (0.24)",0.531536935561091
"RMC1","CG32",207,"0.05 (0.05)",0.0373807174923074
"RMC1","CG48",210,"0 (0.04)",0.445627756847977
"RMC1","PB",85,"-0.06 (0.07)",0.831989138118793
"RMC1","SP",141,"-0.05 (0.05)",0.881833511753312
"RNF40","CG32",114,"-0.58 (0.21)",0.135719080661123
"RNF40","CG48",117,"-0.09 (0.19)",0.967037859257637
"RNF40","PB",44,"0.17 (0.38)",0.636080626858423
"RNF40","SP",79,"0.18 (0.25)",0.648785867040813
"RNPEP","CG32",173,"0.36 (0.18)",0.0639639774058134
"RNPEP","CG48",180,"-0.14 (0.17)",0.63302058639374
"RNPEP","PB",85,"-0.15 (0.23)",0.514028551573013
"RNPEP","SP",113,"-0.3 (0.22)",0.518933907121935
"RPIA","CG32",201,"-0.04 (0.06)",0.498769638508486
"RPIA","CG48",192,"-0.01 (0.07)",0.7274316969464
"RPIA","PB",84,"0.06 (0.1)",0.360426381337319
"RPIA","SP",131,"-0.08 (0.09)",0.381499708652506
"RPN1","CG32",187,"0.12 (0.14)",0.368055640755131
"RPN1","CG48",176,"-0.01 (0.13)",0.43822312027813
"RPN1","PB",81,"0.19 (0.24)",0.494391807955283
"RPN1","SP",120,"-0.11 (0.15)",0.282946595646544
"RPS27A","CG32",180,"0.01 (0.15)",0.264014767664676
"RPS27A","CG48",176,"-0.25 (0.15)",0.114976746827158
"RPS27A","PB",75,"0.08 (0.28)",0.318692326354047
"RPS27A","SP",118,"0.2 (0.18)",0.139600674328165
"RPS3","CG32",122,"-0.08 (0.21)",0.649081685757031
"RPS3","CG48",125,"-0.41 (0.23)",0.706912214187249
"RPS3","PB",41,"-0.82 (0.53)",0.0509647440899614
"RPS3","SP",85,"-0.24 (0.24)",0.181237198351002
"RTCB","CG32",177,"-0.25 (0.3)",0.153112704812296
"RTCB","CG48",170,"0.39 (0.3)",0.491598411155322
"RTCB","PB",67,"-0.03 (0.56)",0.943466853166129
"RTCB","SP",118,"0.31 (0.3)",0.8345326925764
"RTN4RL2","CG32",154,"-0.17 (0.08)",0.158166776662798
"RTN4RL2","CG48",146,"-0.04 (0.11)",0.413638254824428
"RTN4RL2","PB",84,"0.01 (0.07)",0.760549108943697
"RTN4RL2","SP",94,"-0.19 (0.14)",0.073814381849468
"S100A8","CG32",145,"0.14 (0.25)",0.579873614447795
"S100A8","CG48",137,"-0.14 (0.26)",0.895369212187747
"S100A8","PB",54,"-0.34 (0.58)",0.251973874559741
"S100A8","SP",109,"0.27 (0.24)",0.55453658167052
"S100A9","CG32",160,"0 (0.21)",0.506890175314121
"S100A9","CG48",165,"-0.35 (0.25)",0.0520893328277835
"S100A9","PB",77,"0.21 (0.39)",0.779191072735638
"S100A9","SP",125,"-0.49 (0.27)",0.191680230398507
"SAA1","CG32",216,"-0.23 (0.13)",0.0910013483473835
"SAA1","CG48",213,"-0.21 (0.13)",0.123007876931186
"SAA1","PB",90,"0.23 (0.19)",0.140285686958595
"SAA1","SP",146,"-0.02 (0.12)",0.656463287624973
"SAA2","CG32",210,"-0.14 (0.15)",0.459452747880246
"SAA2","CG48",206,"-0.01 (0.14)",0.939295277056263
"SAA2","PB",86,"0.09 (0.25)",0.597471581142582
"SAA2","SP",146,"-0.09 (0.14)",0.340993297789805
"SAA4","CG32",216,"-0.01 (0.03)",0.356005050713073
"SAA4","CG48",214,"0.1 (0.03)",0.0148607782032689
"SAA4","PB",91,"-0.07 (0.07)",0.425231229817727
"SAA4","SP",146,"0.01 (0.04)",0.980548140496959
"SAE1","CG32",144,"-0.04 (0.08)",0.678358404636112
"SAE1","CG48",154,"0.02 (0.07)",0.428576555777601
"SAE1","PB",65,"0.12 (0.12)",0.533310352629797
"SAE1","SP",115,"0.11 (0.08)",0.113313835420141
"SAMHD1","CG32",176,"-0.14 (0.11)",0.53077998245717
"SAMHD1","CG48",172,"-0.12 (0.1)",0.0230337808604831
"SAMHD1","PB",87,"-0.08 (0.13)",0.781790206955278
"SAMHD1","SP",116,"-0.06 (0.16)",0.413621852747225
"SBSN","CG32",215,"0.02 (0.04)",0.644344517012344
"SBSN","CG48",214,"0.04 (0.04)",0.404700218633431
"SBSN","PB",91,"-0.01 (0.06)",0.744959435985006
"SBSN","SP",146,"0 (0.05)",0.869666362100791
"SCIN","CG32",177,"0.36 (0.16)",0.0184890609491614
"SCIN","CG48",165,"0.32 (0.17)",0.0490095762078869
"SCIN","PB",88,"0.09 (0.24)",0.556137219527165
"SCIN","SP",105,"0.09 (0.17)",0.274769302055538
"SCRIB","CG32",194,"0.13 (0.06)",0.0931844286535251
"SCRIB","CG48",201,"0.07 (0.06)",0.0451139955155744
"SCRIB","PB",79,"0.08 (0.1)",0.292108488981658
"SCRIB","SP",138,"-0.03 (0.07)",0.795923153312742
"SELENBP1","CG32",216,"-0.04 (0.07)",0.139920182995553
"SELENBP1","CG48",214,"-0.03 (0.07)",0.251705640770743
"SELENBP1","PB",91,"0.15 (0.14)",0.28575636620411
"SELENBP1","SP",146,"0 (0.08)",0.887334763267335
"SELENOI","CG32",154,"-0.07 (0.06)",0.459000738284118
"SELENOI","CG48",154,"0.08 (0.06)",0.0190240267599342
"SELENOI","PB",48,"-0.21 (0.12)",0.0501239670463156
"SELENOI","SP",118,"-0.1 (0.08)",0.358426677429367
"SELENOP","CG32",216,"0.03 (0.03)",0.168079599173095
"SELENOP","CG48",214,"0.03 (0.03)",0.451093234170019
"SELENOP","PB",91,"-0.04 (0.05)",0.704455736582246
"SELENOP","SP",146,"-0.1 (0.03)",0.0403605083052018
"SELL","CG32",216,"-0.09 (0.05)",0.111444653702669
"SELL","CG48",213,"-0.07 (0.04)",0.311962016058474
"SELL","PB",91,"0.02 (0.07)",0.664773330323649
"SELL","SP",146,"-0.06 (0.05)",0.21515549784866
"SEMG2","CG32",143,"-0.04 (0.16)",0.224704332637033
"SEMG2","CG48",151,"-0.15 (0.14)",0.164441903865611
"SEMG2","PB",82,"-0.25 (0.23)",0.22538587618884
"SEMG2","SP",83,"-0.5 (0.25)",0.0826490915510956
"SEPTIN2","CG32",118,"-0.2 (0.2)",0.235818085836798
"SEPTIN2","CG48",127,"0.34 (0.21)",0.15011613262066
"SEPTIN2","PB",40,"0.64 (0.52)",0.716307894425205
"SEPTIN2","SP",94,"-0.49 (0.22)",0.381599291882175
"SEPTIN7","CG32",192,"0.02 (0.11)",0.510464725368549
"SEPTIN7","CG48",182,"0.13 (0.1)",0.420636165857876
"SEPTIN7","PB",81,"0.05 (0.2)",0.47997407612694
"SEPTIN7","SP",130,"0.19 (0.13)",0.34619483084216
"SERPINA1","CG32",216,"-0.03 (0.03)",0.648307368027203
"SERPINA1","CG48",214,"0 (0.02)",0.901222535444474
"SERPINA1","PB",91,"-0.01 (0.05)",0.568978819940807
"SERPINA1","SP",146,"-0.05 (0.03)",0.28425119610989
"SERPINA10","CG32",216,"-0.08 (0.08)",0.18989784995457
"SERPINA10","CG48",214,"0.06 (0.08)",0.863057282412962
"SERPINA10","PB",91,"0 (0.12)",0.444571163979907
"SERPINA10","SP",146,"-0.08 (0.1)",0.428700694666615
"SERPINA11","CG32",130,"-0.04 (0.35)",0.450275863235474
"SERPINA11","CG48",128,"0.8 (0.31)",0.0396756903527793
"SERPINA11","PB",50,"0.07 (0.53)",0.640951095531495
"SERPINA11","SP",100,"0.05 (0.39)",0.984077544872781
"SERPINA2","CG32",216,"-0.05 (0.04)",0.128174370077956
"SERPINA2","CG48",214,"0.02 (0.03)",0.969078247489898
"SERPINA2","PB",91,"-0.02 (0.07)",0.890716159490544
"SERPINA2","SP",145,"0.01 (0.05)",0.884161881121336
"SERPINA3","CG32",216,"-0.04 (0.03)",0.130350499135147
"SERPINA3","CG48",214,"-0.07 (0.03)",0.0378420607325901
"SERPINA3","PB",91,"-0.02 (0.04)",0.295404490101577
"SERPINA3","SP",146,"-0.13 (0.03)",0.00476735324963166
"SERPINA4","CG32",216,"-0.02 (0.04)",0.878401417043432
"SERPINA4","CG48",214,"0.01 (0.04)",0.313344343785135
"SERPINA4","PB",91,"-0.06 (0.07)",0.468716305043286
"SERPINA4","SP",146,"0 (0.06)",0.849996444653895
"SERPINA5","CG32",216,"0.01 (0.05)",0.791524763161338
"SERPINA5","CG48",214,"-0.08 (0.04)",0.0648763888135728
"SERPINA5","PB",91,"0.04 (0.05)",0.169812565587231
"SERPINA5","SP",146,"0 (0.05)",0.932256232357773
"SERPINA6","CG32",216,"0.02 (0.02)",0.584146637783659
"SERPINA6","CG48",214,"0.08 (0.02)",0.0012034123450386
"SERPINA6","PB",91,"0 (0.03)",0.313089671388827
"SERPINA6","SP",146,"-0.06 (0.02)",0.0228815715805077
"SERPINA7","CG32",216,"0.11 (0.02)",0.00125916671619352
"SERPINA7","CG48",214,"0.12 (0.02)",0.00140676265859886
"SERPINA7","PB",91,"0.02 (0.04)",0.824352244390727
"SERPINA7","SP",146,"-0.04 (0.02)",0.176945636473068
"SERPINB1","CG32",163,"0.28 (0.33)",0.550875457205427
"SERPINB1","CG48",158,"0 (0.34)",0.532959438739716
"SERPINB1","PB",69,"-0.15 (0.48)",0.769257722474513
"SERPINB1","SP",95,"0.27 (0.43)",0.702065356721423
"SERPINB12","CG32",161,"0.07 (0.1)",0.367206981968904
"SERPINB12","CG48",160,"0.1 (0.09)",0.157650054218342
"SERPINB12","PB",76,"0.17 (0.1)",0.0265066007450782
"SERPINB12","SP",99,"-0.01 (0.18)",0.394671421121445
"SERPINB6","CG32",202,"-0.09 (0.18)",0.654368474432783
"SERPINB6","CG48",194,"0.12 (0.17)",0.790935696913634
"SERPINB6","PB",89,"0.2 (0.23)",0.345360396961545
"SERPINB6","SP",131,"0.16 (0.19)",0.439874732920561
"SERPINC1","CG32",216,"0.01 (0.02)",0.831067646633231
"SERPINC1","CG48",214,"0.02 (0.02)",0.155384298611536
"SERPINC1","PB",91,"-0.05 (0.03)",0.359058043958407
"SERPINC1","SP",146,"-0.05 (0.02)",0.0750981326542227
"SERPIND1","CG32",216,"-0.1 (0.07)",0.336515179982472
"SERPIND1","CG48",214,"0.02 (0.07)",0.821887564998496
"SERPIND1","PB",91,"-0.06 (0.13)",0.911170281323572
"SERPIND1","SP",146,"-0.07 (0.07)",0.50611719864
"SERPINE1","CG32",135,"-0.06 (0.15)",0.492107169971106
"SERPINE1","CG48",138,"0.26 (0.16)",0.0116412232401565
"SERPINE1","PB",35,"0.03 (0.37)",0.0368127123999351
"SERPINE1","SP",103,"-0.31 (0.16)",0.417460070721147
"SERPINF1","CG32",216,"0.05 (0.11)",0.685920129251539
"SERPINF1","CG48",214,"-0.09 (0.11)",0.777383052666913
"SERPINF1","PB",91,"-0.09 (0.23)",0.815222432122145
"SERPINF1","SP",146,"-0.05 (0.12)",0.841741491106059
"SERPINF2","CG32",216,"0 (0.02)",0.667531665344374
"SERPINF2","CG48",214,"-0.01 (0.02)",0.730386275441207
"SERPINF2","PB",91,"-0.02 (0.03)",0.702712612694014
"SERPINF2","SP",146,"-0.03 (0.02)",0.177792387074661
"SERPING1","CG32",216,"0.01 (0.05)",0.81151451519187
"SERPING1","CG48",214,"-0.06 (0.04)",0.217578876251198
"SERPING1","PB",91,"0.17 (0.08)",0.152954011077339
"SERPING1","SP",146,"0.01 (0.07)",0.987907568484332
"SET","CG32",147,"-0.09 (0.14)",0.363411358736884
"SET","CG48",141,"0.37 (0.13)",0.0426954574650493
"SET","PB",83,"0.02 (0.16)",0.329126085718193
"SET","SP",78,"0.12 (0.2)",0.82586460558686
"SEZ6L2","CG32",146,"-0.15 (0.12)",0.852401508621143
"SEZ6L2","CG48",138,"0.06 (0.13)",0.695308323151565
"SEZ6L2","PB",45,"-0.04 (0.17)",0.792453979565641
"SEZ6L2","SP",101,"-0.11 (0.12)",0.60810160413969
"SF3B1","CG32",205,"0.05 (0.08)",0.188996815830257
"SF3B1","CG48",206,"0.06 (0.08)",0.463129849237344
"SF3B1","PB",89,"-0.13 (0.15)",0.628495442767912
"SF3B1","SP",138,"0.07 (0.09)",0.954593730631135
"SF3B2","CG32",192,"-0.05 (0.1)",0.779148959323898
"SF3B2","CG48",187,"0.04 (0.09)",0.490806451093969
"SF3B2","PB",73,"-0.07 (0.13)",0.298682092906556
"SF3B2","SP",132,"-0.18 (0.15)",0.273382187969172
"SFN","CG32",199,"-0.2 (0.14)",0.00613606020904208
"SFN","CG48",204,"-0.05 (0.13)",0.416670649176857
"SFN","PB",79,"-0.23 (0.24)",0.708194255290029
"SFN","SP",142,"-0.62 (0.16)",4.93805937125671e-05
"SGPL1","CG32",125,"0.04 (0.05)",0.894684159853282
"SGPL1","CG48",116,"-0.01 (0.09)",0.130543288714654
"SGPL1","PB",65,"-0.03 (0.06)",0.436667582873272
"SGPL1","SP",69,"-0.12 (0.08)",0.0233343147942662
"SHBG","CG32",214,"0.19 (0.1)",0.110906873786685
"SHBG","CG48",214,"0.5 (0.1)",0.000136624131496221
"SHBG","PB",91,"-0.04 (0.18)",0.709694396923452
"SHBG","SP",146,"0.1 (0.12)",0.314300329373751
"SIRPB1","CG32",198,"-0.08 (0.1)",0.306054835984831
"SIRPB1","CG48",191,"0.08 (0.09)",0.121422855496582
"SIRPB1","PB",90,"0.1 (0.12)",0.532020372727004
"SIRPB1","SP",123,"0.04 (0.16)",0.574644497783231
"SLC35B2","CG32",214,"-0.15 (0.03)",2.40554840058423e-05
"SLC35B2","CG48",211,"-0.05 (0.03)",0.0215111282244878
"SLC35B2","PB",88,"0.03 (0.06)",0.274823271023342
"SLC35B2","SP",144,"-0.1 (0.04)",0.0479944316481571
"SLC4A1","CG32",201,"-0.28 (0.12)",0.111841948658076
"SLC4A1","CG48",203,"0.03 (0.16)",0.856235411053151
"SLC4A1","PB",85,"0.11 (0.21)",0.43885018819792
"SLC4A1","SP",136,"-0.01 (0.18)",0.776234617596716
"SLC4A2","CG32",154,"0.13 (0.1)",0.0425885839139441
"SLC4A2","CG48",147,"0.13 (0.08)",0.0775057052557331
"SLC4A2","PB",68,"0.15 (0.12)",0.590731242858407
"SLC4A2","SP",91,"-0.2 (0.1)",0.283518980970928
"SMARCA4","CG32",144,"-0.1 (0.11)",0.79012405123272
"SMARCA4","CG48",129,"-0.08 (0.13)",0.952854869634495
"SMARCA4","PB",52,"0.09 (0.2)",0.228312695353062
"SMARCA4","SP",75,"-0.21 (0.14)",0.431729345542602
"SMPD4","CG32",132,"0.15 (0.11)",0.191601106752597
"SMPD4","CG48",113,"0.16 (0.11)",0.94963815172592
"SMPD4","PB",66,"-0.22 (0.19)",0.102247358300442
"SMPD4","SP",73,"0.07 (0.14)",0.803618783226499
"SND1","CG32",138,"-0.03 (0.16)",0.568629960148133
"SND1","CG48",141,"0.39 (0.15)",0.532565359465807
"SND1","PB",68,"0.15 (0.21)",0.577843928534727
"SND1","SP",85,"-0.01 (0.2)",0.574664802444057
"SNTB2","CG32",131,"0.09 (0.16)",0.584591264042088
"SNTB2","CG48",134,"0.02 (0.17)",0.950006511330194
"SNTB2","PB",35,"-0.08 (0.42)",0.70035525057248
"SNTB2","SP",96,"0.06 (0.16)",0.348714354452954
"SNX27","CG32",155,"-0.18 (0.14)",0.77065303124005
"SNX27","CG48",158,"-0.19 (0.13)",0.77621139625061
"SNX27","PB",58,"0.04 (0.13)",0.901109634882585
"SNX27","SP",118,"-0.08 (0.17)",0.195086678928772
"SPARCL1","CG32",124,"0.22 (0.32)",0.438584045186654
"SPARCL1","CG48",105,"0.16 (0.34)",0.800613453302915
"SPARCL1","PB",47,"-0.27 (0.54)",0.206378262267241
"SPARCL1","SP",84,"0.23 (0.37)",0.0982050138622795
"SPG11","CG32",211,"-0.02 (0.04)",0.355147185355545
"SPG11","CG48",204,"0 (0.03)",0.86064235122876
"SPG11","PB",88,"-0.01 (0.07)",0.851500818904971
"SPG11","SP",146,"0 (0.04)",0.824258446299832
"SPP1","CG32",168,"0.07 (0.14)",0.484028068851653
"SPP1","CG48",179,"0.07 (0.14)",0.509194452894144
"SPP1","PB",86,"0.1 (0.18)",0.588260326653566
"SPP1","SP",105,"0.09 (0.2)",0.985519651518293
"SPTA1","CG32",202,"0.29 (0.13)",0.0677647037964164
"SPTA1","CG48",207,"0.2 (0.13)",0.179980213594912
"SPTA1","PB",88,"-0.34 (0.21)",0.0583931297974445
"SPTA1","SP",134,"-0.25 (0.19)",0.509102375219343
"SPTAN1","CG32",216,"-0.07 (0.09)",0.549136326269653
"SPTAN1","CG48",214,"0.05 (0.07)",0.301213197473421
"SPTAN1","PB",91,"0.12 (0.15)",0.557877611038877
"SPTAN1","SP",146,"0.05 (0.09)",0.552694394179502
"SPTB","CG32",209,"-0.08 (0.16)",0.735563658966222
"SPTB","CG48",209,"0.09 (0.16)",0.73723994064302
"SPTB","PB",86,"0.08 (0.26)",0.659050707269702
"SPTB","SP",140,"-0.22 (0.19)",0.654014246701593
"SPTBN1","CG32",169,"0.16 (0.2)",0.482468231492005
"SPTBN1","CG48",172,"-0.27 (0.19)",0.499934392995328
"SPTBN1","PB",65,"-0.22 (0.38)",0.989167546134564
"SPTBN1","SP",121,"-0.7 (0.22)",0.00974614261416752
"SSB","CG32",192,"-0.01 (0.07)",0.525021131825367
"SSB","CG48",190,"0.01 (0.06)",0.581299464619015
"SSB","PB",69,"0.13 (0.14)",0.960251016287809
"SSB","SP",134,"-0.01 (0.08)",0.958672996803873
"STAT1","CG32",116,"0.64 (0.24)",0.134508097865034
"STAT1","CG48",121,"0.05 (0.23)",0.413883878538696
"STAT1","PB",52,"-0.18 (0.43)",0.178121538908613
"STAT1","SP",80,"0.14 (0.27)",0.20603814849638
"STXBP5","CG32",216,"-0.1 (0.05)",0.0710644059224927
"STXBP5","CG48",214,"-0.05 (0.05)",0.147674086737372
"STXBP5","PB",91,"0 (0.07)",0.68019708897714
"STXBP5","SP",146,"-0.06 (0.06)",0.48527478191306
